item_id,source_label,assignment,section,item_label,order,page_start,page_end,summary,extraction_state,structural_family_candidate,match_status,matched_2024_locator,evidence_locator
asgnbundle-1-Q11,assignment-2025-26-bundle-1,1,C,Q11,11,2,2,"If X and Y are independent random variables with mean 2, 3 and variance 1, 2 respectively. Find the the mean and variance of the random variable 𝑍 = 2𝑋 − 5𝑌.",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L126; PDF p2
asgnbundle-1-Q12,assignment-2025-26-bundle-1,1,C,Q12,12,3,3,A symmetric die is thrown 600 times. Find the lower bound for the probability of getting 80 to 120 sixes.,text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L139; PDF p3
asgnbundle-1-Q13,assignment-2025-26-bundle-1,1,C,Q13,13,3,3,A frequency distribution is defined by 3 𝑥 0≤𝑥≤1 𝑓(𝑥) = { 3(2 − 𝑥)3 1 ≤ 𝑥 ≤ 2 Prove that f(x) is probability density function. Also find mean and standard deviation. 𝟏𝟏 √𝟏𝟕,text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L142; PDF p3
asgnbundle-1-Q14,assignment-2025-26-bundle-1,1,D,Q14,14,3,3,"Suppose that the life in hours of a certain part of radio tube is a continuous random variable 𝑋 with p.d.f. given by 100 𝑓(𝑥) = { 𝑥 2 , 𝑤ℎ𝑒𝑛 𝑥 ≥ 100 0, 𝑒𝑙𝑠𝑒𝑤ℎ𝑒𝑟𝑒 (i) What is the probability that all ...",text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L152; PDF p3
asgnbundle-1-Q15,assignment-2025-26-bundle-1,1,D,Q15,15,3,3,"A salesperson for a medical device company has two appointments on a given day. At the first appointment, he believes that he has a 70% chance to make the deal, from which he can urn $1000 commission ...",text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L167; PDF p3
asgnbundle-1-Q16,assignment-2025-26-bundle-1,1,D,Q16,16,3,3,"The hospitalization period, in days for patients, following treatment for a certain type of kidney disorder is a random variable 𝑌 = 𝑋 + 4, where X has the density function 32 𝑥>0 𝑓(𝑥) = {(𝑥+4)3 0 ...",text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L175; PDF p3
asgnbundle-1-Q17,assignment-2025-26-bundle-1,1,D,Q17,17,3,3,"Seventy new jobs are opening at the automobile manufacturing plant, and 1000 applicants show up for the 70 positions. To select the best 70 from among the applicants, the company gives the tests that ...",text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L184; PDF p3
asgnbundle-1-Q18,assignment-2025-26-bundle-1,1,D,Q18,18,3,4,"An insurance company offers its policyholders a number of different premium payment options. For a randomly selected policy holder, let X be the number of months between successive payments. The ...",text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L194; PDF p3-4
asgnbundle-1-Q19,assignment-2025-26-bundle-1,1,D,Q19,19,4,4,The time to failure in hours of an important piece of electronic component used in a manufactured DVD player has the density function 1 −𝑥 𝑓(𝑥) = {2000 𝑒 2000 𝑥 ≥ 0 0 𝑥<0 Find i. Cumulative ...,text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L214; PDF p4
asgnbundle-2-Q01,assignment-2025-26-bundle-2,2,A,Q1,1,5,5,"If the Mean and Variance of a random variable X are 3 and 4, respectively. Check whether X follows a Binomial Distribution.",text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L267; PDF p5
asgnbundle-2-Q02,assignment-2025-26-bundle-2,2,A,Q2,2,5,5,"If the values taken by a random variable are negative, the negative values will have ___________ a) Positive probability b) Negative Probability c) May have negative or positive probabilities d) ...",text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L272; PDF p5
asgnbundle-2-Q03,assignment-2025-26-bundle-2,2,A,Q3,3,5,5,"In a Poisson Distribution, if mean (m) = e, then P(x) is given by ___________ a) e(x−m)/x! b) e /x! (m−x) c) x!/e(m−x) d) x!/e(x−m)",text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L279; PDF p5
asgnbundle-2-Q04,assignment-2025-26-bundle-2,2,A,Q4,4,5,5,"For a standard normal variate, the value of the mean? a) ∞ b) 1 c) 0 d) not defined",text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L287; PDF p5
asgnbundle-2-Q05,assignment-2025-26-bundle-2,2,A,Q5,5,5,5,A mobile conversation follows an exponential distribution f (x) = (1/3)e-x/3. What is the probability that the conversation takes more than 5 minutes? a) e-5/3 b) e-15 c) 5e-15 d) e-5/3,text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L293; PDF p5
asgnbundle-2-Q06,assignment-2025-26-bundle-2,2,A,Q6,6,5,6,A random variable X has an exponential distribution with probability distribution function is given by f(x)= 3e-3x for x > 0 and 0 otherwise Find the probability that X is not less than 2. a) e-3 b) ...,text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L301; PDF p5-6
asgnbundle-2-Q07,assignment-2025-26-bundle-2,2,A,Q7,7,6,6,"The salary of workers in a factory follows a binomial (180, 1/3) distribution. What will be the mean and variance of the distribution curve? a) 40, 60 b) 40, 50 c) 60, 50 d) 60, 40",text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L315; PDF p6
asgnbundle-2-Q08,assignment-2025-26-bundle-2,2,A,Q8,8,6,6,"If X has an exponential distribution with mean = 2 , then S.D. will be ………",text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L324; PDF p6
asgnbundle-2-Q09,assignment-2025-26-bundle-2,2,A,Q9,9,6,6,"If X is uniformly distributed over ( 0, 5 ), the Mean and variance will be ……..",text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L326; PDF p6
asgnbundle-2-Q10,assignment-2025-26-bundle-2,2,A,Q10,10,6,6,"If X is uniformly distributed over the interval ( a, b) with mean =1 and Variance = 4/3, then the value interval will be ………",text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L328; PDF p6
asgnbundle-2-Q11,assignment-2025-26-bundle-2,2,A,Q11,11,6,6,A Normal curve has mean = 20 and S.D. = 10. If we want to find the area between x1 =15 and x2 = 40. Write the range of area in the standard normal distribution ………………,text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L333; PDF p6
asgnbundle-2-Q12,assignment-2025-26-bundle-2,2,B,Q12,12,6,6,"The probability that a pen manufactured by a factory is defective is 1/10. If 12 such pens are manufactured, what is the probability that (i) (i) exactly 2 are defective, (ii) at least 2 are ...",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L338; PDF p6
asgnbundle-2-Q13,assignment-2025-26-bundle-2,2,B,Q13,13,6,6,"If the probability of a bad reaction from a certain injection is 0.001, determine the chance that out of 200 individuals, more than two will get a bad reaction.",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L342; PDF p6
asgnbundle-2-Q14,assignment-2025-26-bundle-2,2,B,Q14,14,6,6,A car hire -firm has two cars which it hires out on a day to day basis. The number of demands for a car is known to be Poisson distribution with mean 1.5 . Find the probability of day on which (i) ...,text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L346; PDF p6
asgnbundle-2-Q15,assignment-2025-26-bundle-2,2,B,Q15,15,6,6,"The marks of 1000 students in an examination follow a normal distribution with a mean 70 and a standard deviation of 5. Find the expected no. of students, whose marks will be (i)less than 69, (ii) ...",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L352; PDF p6
asgnbundle-2-Q16,assignment-2025-26-bundle-2,2,B,Q16,16,6,6,The length of a telephone conversation has been exponentially distribution with a mean of 3 minutes. Find the probability that a call (i) ends in more than 1 minute and (ii) takes less than 3 minutes.,text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L357; PDF p6
asgnbundle-2-Q17,assignment-2025-26-bundle-2,2,B,Q17,17,6,6,"In a test on 2000 electric bulbs, it was found that the life of a particular make was normally distributed with an average life of 2040 hours and SD of 60 hours. Estimate the number of bulbs likely ...",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L361; PDF p6
asgnbundle-2-Q18,assignment-2025-26-bundle-2,2,B,Q18,18,7,7,"The mean inside diameter of a sample of 200 washers produced by a machine is 0.502 cm, and the SD is 0.005 cm. The purpose for which these washers are intended allows a maximum tolerance in diameter ...",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L373; PDF p7
asgnbundle-2-Q19,assignment-2025-26-bundle-2,2,B,Q19,19,7,7,The time (in hours) required to repair a machine is exponentially distributed with a Parameter of λ = 2. (a) What is the probability that the repair time exceeds 2 h? (b) What is the conditional ...,text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L381; PDF p7
asgnbundle-2-Q20,assignment-2025-26-bundle-2,2,B,Q20,20,7,7,"If X has an exponential distribution with mean = 2, find P (X < 1 / X < 2).",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L386; PDF p7
asgnbundle-2-Q21,assignment-2025-26-bundle-2,2,B,Q21,21,7,7,"If X is uniformly distributed over ( -a, a), a > 0, find a so that P (X > 1) = 1/3 (ii) 𝑃(|𝑋| < 1) = 𝑃 (|𝑋| > 1).",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L388; PDF p7
asgnbundle-2-Q22,assignment-2025-26-bundle-2,2,C,Q22,22,7,7,"If m things are distributed among a men and b women, show that the probability 1 (𝑏+𝑎)𝑚 −(𝑏−𝑎)𝑚 that the number of things received by men is odd is 2 { }. (𝑏+𝑎)𝑚",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L394; PDF p7
asgnbundle-2-Q23,assignment-2025-26-bundle-2,2,C,Q23,23,7,7,"If a string 1m long is cut into two pieces at a random point along its length, what is the probability that the longer piece is at least twice the length of the shorter?",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L398; PDF p7
asgnbundle-2-Q24,assignment-2025-26-bundle-2,2,C,Q24,24,7,7,"An insurance company found that only 0.005% of the population is involved in a certain type of accident and each year. If its 2000 policyholders were randomly selected from the population, what is ...",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L401; PDF p7
asgnbundle-2-Q25,assignment-2025-26-bundle-2,2,C,Q25,25,7,7,"A random variable X has uniformly distributed over ( -3, 3 ), compute (i) P (X < 2) (𝑖𝑖) 𝑃 (|𝑋|< 2) (𝑖𝑖𝑖) 𝑃 (|𝑋 − 2|< 2) , and (iv) Find K for which P ( X > K ) = 1/3 .",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L408; PDF p7
asgnbundle-2-Q26,assignment-2025-26-bundle-2,2,C,Q26,26,7,7,"It is known that the probability of an item produced by a certain machine will be defective is 0.05. If the produced items are sent to the market is packets of 20, find the number of packets ...",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L411; PDF p7
asgnbundle-2-Q27,assignment-2025-26-bundle-2,2,C,Q27,27,7,7,"In a distribution exactly normal, 7% of the items are under 35 and 89% are under 63. What are the mean and standard deviation of the distribution.",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L418; PDF p7
asgnbundle-2-Q28,assignment-2025-26-bundle-2,2,C,Q28,28,7,7,"The average test marks in a particular class is 79. The SD is 5. If the marks are distributed normally, how many students in a class of 200 did not received marks between 75 and 82?",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L421; PDF p7
asgnbundle-2-Q29,assignment-2025-26-bundle-2,2,C,Q29,29,7,8,"Suppose that the average household income in some country is 900 coins, and the standard deviation is 200 coins. Assuming the Normal distribution of incomes, compute the proportion of “the middle ...",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L425; PDF p7-8
asgnbundle-2-Q30,assignment-2025-26-bundle-2,2,D,Q30,30,8,8,"Let X be a random variable that represents the number of minutes until a visitor leaves your website. You have calculated that on average a visitor leaves your site after 5 minutes, and you decide ...",text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L437; PDF p8
asgnbundle-2-Q31,assignment-2025-26-bundle-2,2,D,Q31,31,8,8,"You wait for an elevator, whose capacity is 2000 pounds. The elevator comes with ten adult passengers. Suppose your own weight is 150 lbs, and you heard that human weights are normally distributed ...",text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L443; PDF p8
asgnbundle-2-Q32,assignment-2025-26-bundle-2,2,D,Q32,32,8,8,There are 400 students in the first-year class of an engineering college. The probability that any student requires a copy of the particular mathematics books from the college library on any day is ...,text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L448; PDF p8
asgnbundle-2-Q33,assignment-2025-26-bundle-2,2,D,Q33,33,8,8,"The marks obtained by number of students in a certain subject are approximately normally distributed with mean 65 and SD 5, If 3 students are selected at random from this group, what is the ...",text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L457; PDF p8
asgnbundle-2-Q34,assignment-2025-26-bundle-2,2,D,Q34,34,8,8,"The breaking strength X of a certain kind of rope (in kg) has distribution N (45, 18). Each 50 m. coil of rope brings a profit of Rs. 1000, provided X > 43. If X <= 43, the rope may be used for a ...",text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L462; PDF p8
asgnbundle-2-Q35,assignment-2025-26-bundle-2,2,D,Q35,35,8,8,The mileage which a car owner gets with a certain kind of tyre is a random variable having an exponential distribution with mean 4000 km. Find the probabilities that one of these tyres will be last ...,text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L468; PDF p8
asgnbundle-2-Q36,assignment-2025-26-bundle-2,2,D,Q36,36,8,8,Wireless sets are manufactured with 25 soldered joints each on average 1 joint in 500 defective. How many sets can be expected to be free from defective joints in a consignment of 10000 sets.,text_extracted,application_based,not_assessed,,asgn-2025-26-bundle.txt:L472; PDF p8
asgnbundle-3-A01,assignment-2025-26-bundle-3,3,A,A1,1,9,9,The criteria for Maximum Likelihood Estimators (MLE) are .,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L496; PDF p9
asgnbundle-3-A02,assignment-2025-26-bundle-3,3,A,A2,2,9,9,Write any three methods of estimation .,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L498; PDF p9
asgnbundle-3-A03,assignment-2025-26-bundle-3,3,A,A3,3,9,9,The M.L.E. may not follows ______________ property of the best estimator.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L500; PDF p9
asgnbundle-3-A04,assignment-2025-26-bundle-3,3,A,A4,4,9,9,Estimate the parameter p of the binomial distribution by the method of moments.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L504; PDF p9
asgnbundle-3-A05,assignment-2025-26-bundle-3,3,A,A5,5,9,9,"True or False: If sample statistics t is an unbiased estimator of population parameter 𝜃, then 𝑡 2 will also be unbiased estimator of 𝜃 2 .",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L507; PDF p9
asgnbundle-3-A06,assignment-2025-26-bundle-3,3,A,A6,6,9,9,Write a short note on efficiency of the best estimator.,text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L511; PDF p9
asgnbundle-3-A07,assignment-2025-26-bundle-3,3,A,A7,7,9,9,Write a short note on Consistent estimator.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L513; PDF p9
asgnbundle-3-A08,assignment-2025-26-bundle-3,3,A,A8,8,9,9,Bayes estimators are always a function of statistics.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L515; PDF p9
asgnbundle-3-A09,assignment-2025-26-bundle-3,3,A,A9,9,9,9,Explain the following for an estimator: (i) Unbiasedness (ii) Consistency,text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L518; PDF p9
asgnbundle-3-A10,assignment-2025-26-bundle-3,3,A,A10,10,9,9,The standard error in sample statistic t to estimate confidence interval for population mean 𝜇 of normal population sample size n and population standard deviation 𝜎 will be _______________________.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L520; PDF p9
asgnbundle-3-B01,assignment-2025-26-bundle-3,3,B,B1,11,9,9,"If 𝑥1 , 𝑥2 , … 𝑥𝑛 be normal random variables with mean 𝜇 and variance 𝜎 2 , what are the method of moments estimator for mean 𝜇 and variance 𝜎 2 . (𝑥𝑖 −𝑥̅ )2 𝑛",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L528; PDF p9
asgnbundle-3-B02,assignment-2025-26-bundle-3,3,B,B2,12,9,9,"The sample consisting of the values 12, 11.2, 13.5, 12.3, 13.8 and 11.9 taken from the 𝜃 ∶𝑥<1 population with the density function 𝑓(𝑥; 𝜃) = { 𝑥 𝜃+1 0 ∶ 𝑜𝑡ℎ𝑒𝑟𝑤𝑖𝑠𝑒 Find the MLE of 𝜃.",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L537; PDF p9
asgnbundle-3-B03,assignment-2025-26-bundle-3,3,B,B3,13,10,10,"If n samples are collected from the population following Poisson distribution, prove that sample mean 𝑥̅ is sufficient to estimate population mean 𝜇. A quality control expert is required to estimate ...",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L556; PDF p10
asgnbundle-3-B04,assignment-2025-26-bundle-3,3,B,B4,14,10,10,used in the production of airframes. A sample of 100 sheets revels a mean of 0.048 inches with a standard deviation of 0.01 inches. Construct the 99 per cent confidence interval.,text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L564; PDF p10
asgnbundle-3-B05,assignment-2025-26-bundle-3,3,B,B5,15,10,10,The Dean of FoSTA wants to use a mean of random sample to estimate the average amount of time that students take to get from one class to the other. He wants to be able to assert with 99% percent ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L567; PDF p10
asgnbundle-3-C01,assignment-2025-26-bundle-3,3,C,C1,16,10,10,"Ten rats are used in a biomedical study where they are injected with cancer cells and than given a cancer drug that is designed to increase their survival rate. The survival time in months are 14, ...",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L577; PDF p10
asgnbundle-3-C02,assignment-2025-26-bundle-3,3,C,C2,17,10,10,"The population consists of four values: 2, 4, 6 and 8. Draw all samples of size two with replacement. Verify that the sample mean is an unbiased estimator of population mean.",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L584; PDF p10
asgnbundle-3-C03,assignment-2025-26-bundle-3,3,C,C3,18,10,10,"A random sample of size 10 was drawn from a normal population with an unknown mean and a variance of 44.1 inch2. If the observations are (in inches): 65, 71 ,80, 76,78, 82, 68, 72, 65 and 81 obtain ...",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L589; PDF p10
asgnbundle-3-C04,assignment-2025-26-bundle-3,3,C,C4,19,10,10,"accidents per year was found to be 3.8, and the sample standard deviation was 0.8. Construct the 95% confidence interval for the mean number of automobile accidents per crossing per year.",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L597; PDF p10
asgnbundle-3-C05,assignment-2025-26-bundle-3,3,C,C5,20,10,10,"For random sampling from a normal population, find maximum likelihood estimator for a. The population means when the population variance is known. b. The population variance when the population mean ...",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L604; PDF p10
asgnbundle-3-D01,assignment-2025-26-bundle-3,3,D,D1,21,11,11,An electric firm manufactures light bulbs that has a length of life approximately normally distributed with a standard deviation of 100 hours. Prior experience leads us to believe that 𝜇 is a value ...,text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L625; PDF p11
asgnbundle-3-D02,assignment-2025-26-bundle-3,3,D,D2,22,11,11,A random sample of 50 sales invoices was taken from a large population of sales invoices. The average value was found to be Rs 2000 with a standard deviation of Rs 540. Find a 90 per cent confidence ...,text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L635; PDF p11
asgnbundle-3-D03,assignment-2025-26-bundle-3,3,D,D3,23,11,11,"𝛽−1 −𝛼 𝛽 𝑓(𝑥) = {𝛼𝛽𝑥 𝑒 𝑥 𝑥 > 0, 0 𝑜𝑡ℎ𝑒𝑟𝑤𝑖𝑠𝑒 for 𝛼, 𝛽 > 0 i. Find the likelihood function. ii. The equations to obtain Maximum Likelihood Estimator of 𝛼 and 𝛽.",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L645; PDF p11
asgnbundle-3-D04,assignment-2025-26-bundle-3,3,D,D4,24,11,11,Survey conducted by a shopping mall group showed that a family in a metro-city spends an average of Rs 500 on cloth’s every month. Suppose a sample of 81 families resulted in a sample mean of Rs 540 ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L650; PDF p11
asgnbundle-3-D05,assignment-2025-26-bundle-3,3,D,D5,25,11,11,"Let 𝑥1 , 𝑥2 , … 𝑥𝑛 are random variables for n samples collected from the normal population having mean 𝜇 and variance 𝜎 2 . Find sufficient estimators for 𝜇 and 𝜎 2 .",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L659; PDF p11
asgnbundle-4-01,assignment-2025-26-bundle-4,4,A,1,1,12,12,Define- i) Statistical Hypothesis ii) Null Hypothesis and Alternative Hypothesis iii) One tailed and two tailed test iv) Type I and type II error v) Significance level and critical region vi) ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L692; PDF p12
asgnbundle-4-02,assignment-2025-26-bundle-4,4,A,2,2,12,12,Statistical hypothesis under test is called……………,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L702; PDF p12
asgnbundle-4-03,assignment-2025-26-bundle-4,4,A,3,3,12,12,A wrong decision about the null hypothesis leads to types of errors.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L703; PDF p12
asgnbundle-4-04,assignment-2025-26-bundle-4,4,A,4,4,12,12,The probability of type I error is given by……..,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L704; PDF p12
asgnbundle-4-05,assignment-2025-26-bundle-4,4,A,5,5,12,12,The level of significance of a test is related to type …….. error and is given by…………..,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L705; PDF p12
asgnbundle-4-06,assignment-2025-26-bundle-4,4,A,6,6,12,12,Critical region provides us the criterion for…of null hypothesis.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L706; PDF p12
asgnbundle-4-07,assignment-2025-26-bundle-4,4,A,7,7,12,12,Which one of the following statement is true for Type II error a) Rejecting an incorrect Hypothesis b) Accepting an incorrect Hypothesis c) Accepting a correct Hypothesis d) Rejecting a correct ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L707; PDF p12
asgnbundle-4-08,assignment-2025-26-bundle-4,4,A,8,8,12,12,An investigator commits a type II error when he / she a) rejects a null hypothesis when it is true b) accepts a null hypothesis when it is true c) rejects a null hypothesis when it is false d) ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L714; PDF p12
asgnbundle-4-09,assignment-2025-26-bundle-4,4,A,9,9,12,12,"Type I error in the testing of null hypothesis occurs when the researchers a) rejects it, when it is true b) accepts it, but it is false c) Both (a) and (b) d) neither (a) nor (b)",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L719; PDF p12
asgnbundle-4-10,assignment-2025-26-bundle-4,4,B,10,10,13,13,The heights of 10 adult males selected at random from a given locality had a mean of 158 cm and variance 39.0625 cm. State the null and alternative Hypothesis. [,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L732; PDF p13
asgnbundle-4-11,assignment-2025-26-bundle-4,4,B,11,11,13,13,"A local telephone company claims that the average length of a phone call is 8 minutes. In a random sample of 18 phone calls, the sample mean was 7.8 minutes and the standard deviation was 0.5 ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L735; PDF p13
asgnbundle-4-12,assignment-2025-26-bundle-4,4,B,12,12,13,13,A travel agency’s marketing brochure indicates that the standard deviations of hotel room rates for two cities are the same. A random sample of 13 hotel room rates in one city has a standard ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L740; PDF p13
