source_file,block_index,start_line,end_line,declared_type,renderer,ascii_structural_replaced
deck/notes/03-pmf-and-cdf.md,6,44,49,heuristic,semantic-table,yes
deck/notes/03-pmf-and-cdf.md,7,51,56,heuristic,semantic-table,yes
deck/notes/03-pmf-and-cdf.md,8,60,63,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,9,65,80,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,10,82,84,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,11,86,96,heuristic,semantic-table,yes
deck/notes/03-pmf-and-cdf.md,12,98,102,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,13,104,113,heuristic,styled-callout,yes
deck/notes/03-pmf-and-cdf.md,14,117,123,heuristic,semantic-table,yes
deck/notes/03-pmf-and-cdf.md,15,125,138,heuristic,vector-diagram,yes
deck/notes/03-pmf-and-cdf.md,16,142,144,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,17,146,154,heuristic,semantic-table,yes
deck/notes/03-pmf-and-cdf.md,18,156,161,heuristic,styled-callout,yes
deck/notes/03-pmf-and-cdf.md,19,165,168,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,20,170,181,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,21,185,196,heuristic,semantic-table,yes
deck/notes/03-pmf-and-cdf.md,22,200,205,heuristic,styled-callout,yes
deck/notes/03-pmf-and-cdf.md,23,207,213,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,24,215,228,heuristic,vector-diagram,yes
deck/notes/03-pmf-and-cdf.md,25,230,237,heuristic,styled-callout,yes
deck/notes/03-pmf-and-cdf.md,26,241,244,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,27,246,255,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,28,257,267,heuristic,vector-diagram,yes
deck/notes/03-pmf-and-cdf.md,29,271,274,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,30,276,291,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,31,295,297,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,32,299,301,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,33,303,307,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,34,309,321,heuristic,semantic-table,yes
deck/notes/03-pmf-and-cdf.md,35,323,334,heuristic,vector-diagram,yes
deck/notes/03-pmf-and-cdf.md,36,338,347,heuristic,semantic-table,yes
deck/notes/03-pmf-and-cdf.md,37,349,352,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,1,5,14,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,2,18,25,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,3,27,37,heuristic,vector-diagram,yes
deck/notes/04-expectation-and-variance.md,4,41,46,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,5,48,53,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,6,57,60,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,7,62,69,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,8,73,75,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,9,77,82,heuristic,semantic-table,yes
deck/notes/04-expectation-and-variance.md,10,84,88,heuristic,semantic-table,yes
deck/notes/04-expectation-and-variance.md,11,90,96,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,12,100,103,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,13,105,116,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,14,118,126,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,15,130,135,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,16,137,139,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,17,141,148,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,18,150,159,heuristic,vector-diagram,yes
deck/notes/04-expectation-and-variance.md,19,163,165,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,20,167,175,heuristic,semantic-table,yes
deck/notes/04-expectation-and-variance.md,21,177,185,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,22,189,196,heuristic,semantic-table,yes
deck/notes/04-expectation-and-variance.md,23,198,204,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,24,206,215,heuristic,vector-diagram,yes
deck/notes/04-expectation-and-variance.md,25,219,222,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,26,224,242,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,27,244,251,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,28,255,258,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,29,260,263,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,30,265,272,heuristic,semantic-table,yes
deck/notes/04-expectation-and-variance.md,31,274,280,heuristic,semantic-table,yes
deck/notes/04-expectation-and-variance.md,32,282,288,heuristic,typeset-formula,yes
deck/notes/04-expectation-and-variance.md,33,290,296,heuristic,styled-callout,yes
deck/notes/04-expectation-and-variance.md,34,298,312,heuristic,vector-diagram,yes
deck/notes/05-continuous-rv.md,1,5,10,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,2,12,18,heuristic,styled-callout,yes
deck/notes/05-continuous-rv.md,3,22,27,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,4,29,36,heuristic,styled-callout,yes
deck/notes/05-continuous-rv.md,5,38,49,heuristic,vector-diagram,yes
deck/notes/05-continuous-rv.md,6,53,66,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,7,68,76,heuristic,styled-callout,yes
deck/notes/05-continuous-rv.md,8,80,82,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,9,84,88,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,10,90,92,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,11,94,105,heuristic,vector-diagram,yes
deck/notes/05-continuous-rv.md,12,109,119,heuristic,vector-diagram,yes
deck/notes/05-continuous-rv.md,13,121,127,heuristic,styled-callout,yes
deck/notes/05-continuous-rv.md,14,131,137,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,15,139,151,heuristic,vector-diagram,yes
deck/notes/05-continuous-rv.md,16,153,171,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,17,173,180,heuristic,styled-callout,yes
deck/notes/05-continuous-rv.md,18,182,195,heuristic,vector-diagram,yes
deck/notes/05-continuous-rv.md,19,199,201,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,20,203,214,heuristic,vector-diagram,yes
deck/notes/05-continuous-rv.md,21,216,227,heuristic,vector-diagram,yes
deck/notes/05-continuous-rv.md,22,231,234,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,23,236,242,heuristic,styled-callout,yes
deck/notes/05-continuous-rv.md,24,244,248,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,25,252,257,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,26,261,265,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,27,267,274,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,28,276,285,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,29,287,297,heuristic,vector-diagram,yes
deck/notes/05-continuous-rv.md,30,301,305,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,31,307,315,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,32,317,323,heuristic,styled-callout,yes
deck/notes/05-continuous-rv.md,33,327,336,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,34,340,343,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,35,345,359,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,36,361,367,heuristic,styled-callout,yes
deck/notes/05-continuous-rv.md,37,371,373,heuristic,typeset-formula,yes
deck/notes/05-continuous-rv.md,38,375,380,heuristic,semantic-table,yes
deck/notes/05-continuous-rv.md,39,382,388,heuristic,styled-callout,yes
deck/notes/05-continuous-rv.md,40,392,403,heuristic,vector-diagram,yes
deck/notes/06-binomial-poisson.md,1,7,9,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,2,11,19,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,3,21,25,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,4,27,32,heuristic,semantic-table,yes
deck/notes/06-binomial-poisson.md,5,34,40,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,6,42,48,heuristic,styled-callout,yes
deck/notes/06-binomial-poisson.md,7,52,55,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,8,57,65,heuristic,styled-callout,yes
deck/notes/06-binomial-poisson.md,9,67,69,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,10,73,76,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,11,78,81,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,12,85,89,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,13,93,97,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,14,99,104,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,15,106,114,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,16,116,119,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,17,121,127,heuristic,styled-callout,yes
deck/notes/06-binomial-poisson.md,18,129,143,heuristic,vector-diagram,yes
deck/notes/06-binomial-poisson.md,19,147,150,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,20,152,162,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,21,164,170,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,22,172,182,heuristic,styled-callout,yes
deck/notes/06-binomial-poisson.md,23,188,193,heuristic,styled-callout,yes
deck/notes/06-binomial-poisson.md,24,195,204,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,25,208,213,heuristic,semantic-table,yes
deck/notes/06-binomial-poisson.md,26,215,217,heuristic,vector-diagram,yes
deck/notes/06-binomial-poisson.md,27,219,225,heuristic,styled-callout,yes
deck/notes/06-binomial-poisson.md,28,229,232,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,29,234,236,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,30,238,240,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,31,242,249,heuristic,styled-callout,yes
deck/notes/06-binomial-poisson.md,32,253,255,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,33,257,265,heuristic,vector-diagram,yes
deck/notes/06-binomial-poisson.md,34,267,270,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,35,272,280,heuristic,vector-diagram,yes
deck/notes/06-binomial-poisson.md,36,284,287,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,37,289,298,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,38,300,315,heuristic,styled-callout,yes
deck/notes/06-binomial-poisson.md,39,317,324,heuristic,styled-callout,yes
deck/notes/06-binomial-poisson.md,40,328,331,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,41,333,338,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,42,340,342,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,43,346,350,heuristic,typeset-formula,yes
deck/notes/06-binomial-poisson.md,44,354,368,heuristic,semantic-table,yes
deck/notes/06-binomial-poisson.md,45,370,382,heuristic,vector-diagram,yes
deck/notes/06-binomial-poisson.md,46,386,394,heuristic,semantic-table,yes
deck/notes/07-uniform-normal-exponential.md,1,5,16,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,2,22,30,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,3,32,44,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,4,48,51,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,5,53,60,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,6,64,69,heuristic,semantic-table,yes
deck/notes/07-uniform-normal-exponential.md,7,71,73,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,8,75,85,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,9,91,99,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,10,101,109,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,11,113,123,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,12,127,131,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,13,133,142,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,14,146,148,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,15,150,153,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,16,155,167,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,17,171,189,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,18,191,200,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,19,204,208,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,20,210,220,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,21,224,226,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,22,228,235,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,23,237,245,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,24,247,250,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,25,254,256,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,26,258,265,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,27,267,273,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,28,275,285,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,29,289,293,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,30,295,305,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,31,311,318,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,32,322,329,heuristic,semantic-table,yes
deck/notes/07-uniform-normal-exponential.md,33,331,339,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,34,341,353,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,35,355,366,heuristic,vector-diagram,yes
deck/notes/07-uniform-normal-exponential.md,36,370,373,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,37,375,382,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,38,384,394,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,39,398,400,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,40,402,410,heuristic,styled-callout,yes
deck/notes/07-uniform-normal-exponential.md,41,412,420,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,42,422,424,heuristic,typeset-formula,yes
deck/notes/07-uniform-normal-exponential.md,43,428,440,heuristic,semantic-table,yes
deck/notes/07-uniform-normal-exponential.md,44,442,453,heuristic,vector-diagram,yes
deck/notes/08-sampling-and-clt.md,1,5,20,heuristic,semantic-table,yes
deck/notes/08-sampling-and-clt.md,2,22,30,heuristic,styled-callout,yes
deck/notes/08-sampling-and-clt.md,3,34,49,heuristic,vector-diagram,yes
deck/notes/08-sampling-and-clt.md,4,53,62,heuristic,styled-callout,yes
deck/notes/08-sampling-and-clt.md,5,64,69,heuristic,styled-callout,yes
deck/notes/08-sampling-and-clt.md,6,71,80,heuristic,vector-diagram,yes
deck/notes/08-sampling-and-clt.md,7,84,86,heuristic,typeset-formula,yes
deck/notes/08-sampling-and-clt.md,8,88,91,heuristic,typeset-formula,yes
deck/notes/08-sampling-and-clt.md,9,93,100,heuristic,styled-callout,yes
deck/notes/08-sampling-and-clt.md,10,104,111,heuristic,styled-callout,yes
deck/notes/08-sampling-and-clt.md,11,113,119,heuristic,semantic-table,yes
deck/notes/08-sampling-and-clt.md,12,123,135,heuristic,styled-callout,yes
deck/notes/08-sampling-and-clt.md,13,137,155,heuristic,vector-diagram,yes
deck/notes/08-sampling-and-clt.md,14,159,175,heuristic,vector-diagram,yes
deck/notes/08-sampling-and-clt.md,15,179,182,heuristic,typeset-formula,yes
deck/notes/08-sampling-and-clt.md,16,184,189,heuristic,semantic-table,yes
deck/notes/08-sampling-and-clt.md,17,191,201,heuristic,vector-diagram,yes
deck/notes/08-sampling-and-clt.md,18,205,208,heuristic,typeset-formula,yes
deck/notes/08-sampling-and-clt.md,19,210,218,heuristic,typeset-formula,yes
deck/notes/08-sampling-and-clt.md,20,220,229,heuristic,styled-callout,yes
deck/notes/08-sampling-and-clt.md,21,233,236,heuristic,typeset-formula,yes
deck/notes/08-sampling-and-clt.md,22,238,242,heuristic,semantic-table,yes
deck/notes/08-sampling-and-clt.md,23,244,247,heuristic,typeset-formula,yes
deck/notes/08-sampling-and-clt.md,24,251,254,heuristic,typeset-formula,yes
deck/notes/08-sampling-and-clt.md,25,256,262,heuristic,typeset-formula,yes
deck/notes/08-sampling-and-clt.md,26,264,280,heuristic,vector-diagram,yes
deck/notes/08-sampling-and-clt.md,27,284,294,heuristic,vector-diagram,yes
deck/notes/08-sampling-and-clt.md,28,296,304,heuristic,styled-callout,yes
deck/notes/09-estimation.md,1,5,23,heuristic,semantic-table,yes
deck/notes/09-estimation.md,2,25,31,heuristic,styled-callout,yes
deck/notes/09-estimation.md,3,35,46,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,4,50,58,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,5,60,69,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,6,71,73,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,7,77,87,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,8,89,91,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,9,95,100,heuristic,styled-callout,yes
deck/notes/09-estimation.md,10,102,113,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,11,115,121,heuristic,styled-callout,yes
deck/notes/09-estimation.md,12,125,130,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,13,132,139,heuristic,styled-callout,yes
deck/notes/09-estimation.md,14,141,152,heuristic,styled-callout,yes
deck/notes/09-estimation.md,15,154,163,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,16,167,170,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,17,172,175,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,18,177,188,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,19,190,198,heuristic,styled-callout,yes
deck/notes/09-estimation.md,20,202,208,heuristic,semantic-table,yes
deck/notes/09-estimation.md,21,210,216,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,22,218,223,heuristic,semantic-table,yes
deck/notes/09-estimation.md,23,225,229,heuristic,semantic-table,yes
deck/notes/09-estimation.md,24,231,236,heuristic,semantic-table,yes
deck/notes/09-estimation.md,25,238,244,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,26,248,254,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,27,256,261,heuristic,semantic-table,yes
deck/notes/09-estimation.md,28,263,268,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,29,270,275,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,30,277,284,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,31,286,292,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,32,294,303,heuristic,styled-callout,yes
deck/notes/09-estimation.md,33,307,316,heuristic,styled-callout,yes
deck/notes/09-estimation.md,34,320,322,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,35,324,329,heuristic,semantic-table,yes
deck/notes/09-estimation.md,36,331,336,heuristic,styled-callout,yes
deck/notes/09-estimation.md,37,340,342,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,38,344,347,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,39,351,353,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,40,358,364,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,41,366,376,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,42,380,390,heuristic,semantic-table,yes
deck/notes/09-estimation.md,43,394,402,heuristic,semantic-table,yes
deck/notes/09-estimation.md,44,404,412,heuristic,styled-callout,yes
deck/notes/09-estimation.md,45,416,418,heuristic,typeset-formula,yes
deck/notes/09-estimation.md,46,420,431,heuristic,vector-diagram,yes
deck/notes/09-estimation.md,47,433,439,heuristic,styled-callout,yes
deck/notes/09-estimation.md,48,443,459,heuristic,vector-diagram,yes
deck/notes/10-chebyshev-and-hidden.md,1,7,12,heuristic,semantic-table,yes
deck/notes/10-chebyshev-and-hidden.md,2,14,18,heuristic,typeset-formula,yes
deck/notes/10-chebyshev-and-hidden.md,3,20,25,heuristic,styled-callout,yes
deck/notes/10-chebyshev-and-hidden.md,4,29,49,heuristic,vector-diagram,yes
deck/notes/10-chebyshev-and-hidden.md,5,53,64,heuristic,semantic-table,yes
deck/notes/10-chebyshev-and-hidden.md,6,66,82,heuristic,vector-diagram,yes
deck/notes/10-chebyshev-and-hidden.md,7,86,93,heuristic,typeset-formula,yes
deck/notes/10-chebyshev-and-hidden.md,8,97,106,heuristic,vector-diagram,yes
deck/notes/10-chebyshev-and-hidden.md,9,108,120,heuristic,vector-diagram,yes
deck/notes/10-chebyshev-and-hidden.md,10,122,134,heuristic,styled-callout,yes
deck/notes/10-chebyshev-and-hidden.md,11,136,148,heuristic,vector-diagram,yes
deck/notes/10-chebyshev-and-hidden.md,12,150,160,heuristic,vector-diagram,yes
deck/notes/10-chebyshev-and-hidden.md,13,162,167,heuristic,vector-diagram,yes
deck/notes/10-chebyshev-and-hidden.md,14,171,178,heuristic,styled-callout,yes
deck/notes/10-chebyshev-and-hidden.md,15,184,236,heuristic,styled-callout,yes
deck/notes/10-chebyshev-and-hidden.md,16,240,254,heuristic,vector-diagram,yes
deck/notes/10-chebyshev-and-hidden.md,17,256,262,heuristic,styled-callout,yes
deck/00-INDEX.md,1,5,27,flow,vector-flow,yes
deck/00-INDEX.md,2,31,65,flow,vector-flow,yes
deck/00-INDEX.md,3,69,82,flow,vector-flow,yes
deck/00-INDEX.md,4,86,94,table,semantic-table,yes
deck/00-INDEX.md,5,98,117,table,semantic-table,yes
deck/00-INDEX.md,6,121,138,table,semantic-table,yes
deck/00-INDEX.md,7,144,150,table,semantic-table,yes
deck/00-INDEX.md,8,156,166,timeline,vector-timeline,yes
deck/00-INDEX.md,9,172,182,table,semantic-table,yes
deck/00-INDEX.md,10,189,198,table,semantic-table,yes
deck/01-CHEATSHEET.md,1,5,36,flow,vector-flow,yes
deck/01-CHEATSHEET.md,2,40,59,plot,vector-plot,yes
deck/01-CHEATSHEET.md,3,63,78,plot,vector-plot,yes
deck/01-CHEATSHEET.md,4,84,94,formula,typeset-formula,yes
deck/01-CHEATSHEET.md,5,98,106,formula,typeset-formula,yes
deck/01-CHEATSHEET.md,6,110,116,formula,typeset-formula,yes
deck/01-CHEATSHEET.md,7,120,127,formula,typeset-formula,yes
