source_file,block_index,start_line,end_line,classification,structural_markers
deck/08-TRAPS.md,2,56,88,structural-candidate,─│┌┐└┘├┬┴┼
deck/08-TRAPS.md,3,92,105,text-or-formula,
deck/08-TRAPS.md,4,112,153,text-or-formula,
deck/08-TRAPS.md,5,159,200,text-or-formula,
deck/08-TRAPS.md,6,204,215,text-or-formula,
deck/09-QUESTIONS.md,1,5,30,structural-candidate,─│┌┐└┘┬┴
deck/09-QUESTIONS.md,2,34,51,structural-candidate,─│┌┐└┘┬┴
deck/09-QUESTIONS.md,3,55,68,structural-candidate,█
deck/09-QUESTIONS.md,4,82,100,text-or-formula,
deck/09-QUESTIONS.md,5,104,146,text-or-formula,
deck/09-QUESTIONS.md,6,150,157,text-or-formula,
deck/09-QUESTIONS.md,7,161,169,text-or-formula,
deck/09-QUESTIONS.md,8,173,184,text-or-formula,
deck/09-QUESTIONS.md,9,188,197,text-or-formula,
deck/10-SLIDE-MAP.md,1,5,28,structural-candidate,─┌└├═
deck/10-SLIDE-MAP.md,2,32,50,structural-candidate,─│┌┐└┘├┬┴┼
deck/10-SLIDE-MAP.md,3,56,74,text-or-formula,
deck/10-SLIDE-MAP.md,4,78,109,text-or-formula,
deck/10-SLIDE-MAP.md,5,117,129,text-or-formula,
deck/10-SLIDE-MAP.md,6,133,146,text-or-formula,
deck/10-SLIDE-MAP.md,7,150,159,text-or-formula,
deck/10-SLIDE-MAP.md,8,163,169,text-or-formula,
deck/10-SLIDE-MAP.md,9,173,178,text-or-formula,
deck/10-SLIDE-MAP.md,10,182,188,text-or-formula,
deck/11-BEYOND-SLIDES.md,1,5,29,structural-candidate,─│┌┐└┘
deck/11-BEYOND-SLIDES.md,2,33,47,structural-candidate,─│└█
deck/11-BEYOND-SLIDES.md,3,51,70,structural-candidate,─│┌┐└┘▶
deck/11-BEYOND-SLIDES.md,4,78,91,text-or-formula,
deck/11-BEYOND-SLIDES.md,5,95,106,text-or-formula,
deck/11-BEYOND-SLIDES.md,6,110,118,text-or-formula,
deck/11-BEYOND-SLIDES.md,7,122,128,text-or-formula,
deck/11-BEYOND-SLIDES.md,8,132,140,text-or-formula,
deck/11-BEYOND-SLIDES.md,9,144,152,text-or-formula,
deck/11-BEYOND-SLIDES.md,10,156,163,text-or-formula,
deck/11-BEYOND-SLIDES.md,11,167,177,text-or-formula,
deck/11-BEYOND-SLIDES.md,12,181,190,text-or-formula,
deck/12-DRILL.md,1,8,33,structural-candidate,─│┌┐└┘├
deck/12-DRILL.md,2,37,46,text-or-formula,
deck/12-DRILL.md,3,50,58,text-or-formula,
deck/12-DRILL.md,4,62,70,text-or-formula,
deck/12-DRILL.md,5,74,78,text-or-formula,
deck/12-DRILL.md,6,82,90,text-or-formula,
deck/12-DRILL.md,7,94,101,text-or-formula,
deck/12-DRILL.md,8,105,111,text-or-formula,
deck/12-DRILL.md,9,115,122,text-or-formula,
deck/12-DRILL.md,10,126,138,text-or-formula,
deck/12-DRILL.md,11,142,148,text-or-formula,
deck/12-DRILL.md,12,152,161,structural-candidate,─│┌┐└┘
deck/13-EXAM-MECHANICS.md,1,5,15,structural-candidate,─│┌┐└┘
deck/13-EXAM-MECHANICS.md,2,19,34,structural-candidate,─│┐┘
deck/13-EXAM-MECHANICS.md,3,38,48,structural-candidate,─
deck/13-EXAM-MECHANICS.md,4,52,74,structural-candidate,─│┌┐└┘┬
deck/13-EXAM-MECHANICS.md,5,78,85,structural-candidate,─┌┐└┘├
deck/13-EXAM-MECHANICS.md,6,89,99,structural-candidate,█
deck/13-EXAM-MECHANICS.md,7,103,111,text-or-formula,
deck/13-EXAM-MECHANICS.md,8,115,139,structural-candidate,─│┌┐└┘├
deck/14-MASTER-STUDY-ORDER.md,1,14,40,structural-candidate,─│┌┐└┘├
deck/14-MASTER-STUDY-ORDER.md,2,46,87,structural-candidate,─│┌┐└┘┬
deck/14-MASTER-STUDY-ORDER.md,3,95,115,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,4,125,145,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,5,151,173,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,6,181,213,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,7,219,235,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,8,241,262,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,9,268,285,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,10,293,325,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,11,331,345,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,12,351,370,structural-candidate,─│┌┐└├┬┴▶
deck/14-MASTER-STUDY-ORDER.md,13,376,414,structural-candidate,─│┌┐└┘├┬┴┼
deck/14-MASTER-STUDY-ORDER.md,14,420,434,text-or-formula,
deck/14-MASTER-STUDY-ORDER.md,15,440,456,text-or-formula,
deck/14-MASTER-STUDY-ORDER.md,16,462,476,structural-candidate,─│┌┐└┘
deck/README.md,1,5,14,text-or-formula,
deck/README.md,2,18,28,text-or-formula,
deck/README.md,3,37,68,text-or-formula,
deck/notes/00-NOTES-INDEX.md,1,9,34,structural-candidate,─│┌┐└┘┬┴
deck/notes/00-NOTES-INDEX.md,2,38,51,text-or-formula,
deck/notes/00-NOTES-INDEX.md,3,61,75,structural-candidate,─│┌┐┬┼▶
deck/notes/01-probability-foundations.md,1,5,8,text-or-formula,
deck/notes/01-probability-foundations.md,2,10,18,structural-candidate,─│┌┐└┘
deck/notes/01-probability-foundations.md,3,28,33,text-or-formula,
deck/notes/01-probability-foundations.md,4,35,40,structural-candidate,─│
deck/notes/01-probability-foundations.md,5,44,59,structural-candidate,─│┌┐└┘├┬┴┼
deck/notes/01-probability-foundations.md,6,63,70,text-or-formula,
deck/notes/01-probability-foundations.md,7,72,79,structural-candidate,═║╔╗╚╝
deck/notes/01-probability-foundations.md,8,83,105,structural-candidate,─│┌┐└┘├┬┴┼
deck/notes/01-probability-foundations.md,9,109,113,text-or-formula,
deck/notes/01-probability-foundations.md,10,115,122,structural-candidate,─│┌┐└┘
deck/notes/01-probability-foundations.md,11,126,142,structural-candidate,─│┌┐└┘
deck/notes/01-probability-foundations.md,12,146,149,text-or-formula,
deck/notes/01-probability-foundations.md,13,153,160,structural-candidate,─
deck/notes/01-probability-foundations.md,14,162,170,structural-candidate,═║╔╗╚╝
deck/notes/01-probability-foundations.md,15,174,181,text-or-formula,
deck/notes/01-probability-foundations.md,16,185,189,text-or-formula,
deck/notes/01-probability-foundations.md,17,195,197,text-or-formula,
deck/notes/01-probability-foundations.md,18,201,210,structural-candidate,─
deck/notes/01-probability-foundations.md,19,212,219,structural-candidate,─│┌┐└┘
deck/notes/01-probability-foundations.md,20,223,235,text-or-formula,
deck/notes/01-probability-foundations.md,21,239,247,structural-candidate,─│┌┐└┘┬┴
deck/notes/01-probability-foundations.md,22,253,256,text-or-formula,
deck/notes/01-probability-foundations.md,23,258,263,text-or-formula,
deck/notes/01-probability-foundations.md,24,265,275,text-or-formula,
deck/notes/01-probability-foundations.md,25,281,291,text-or-formula,
deck/notes/01-probability-foundations.md,26,295,315,structural-candidate,─
deck/notes/01-probability-foundations.md,27,317,323,structural-candidate,─│┌┐└┘
deck/notes/01-probability-foundations.md,28,327,329,text-or-formula,
deck/notes/01-probability-foundations.md,29,333,340,text-or-formula,
deck/notes/01-probability-foundations.md,30,342,348,structural-candidate,─│┌┐└┘
deck/notes/01-probability-foundations.md,31,352,362,structural-candidate,─┌┐┴
deck/notes/02-random-variables.md,1,5,12,structural-candidate,─│┌┐└┘
deck/notes/02-random-variables.md,2,14,22,structural-candidate,─│┌┐└┘▶
deck/notes/02-random-variables.md,3,24,35,structural-candidate,─│┌┐└┘┴
deck/notes/02-random-variables.md,4,39,47,structural-candidate,─│┌┐└┘
deck/notes/02-random-variables.md,5,53,65,structural-candidate,─
deck/notes/02-random-variables.md,6,71,88,structural-candidate,─
deck/notes/02-random-variables.md,7,92,104,structural-candidate,─│└┬█▶
deck/notes/02-random-variables.md,8,108,112,text-or-formula,
deck/notes/02-random-variables.md,9,116,121,text-or-formula,
deck/notes/02-random-variables.md,10,125,133,text-or-formula,
deck/notes/02-random-variables.md,11,135,144,structural-candidate,─│└█▶
deck/notes/02-random-variables.md,12,148,150,text-or-formula,
deck/notes/02-random-variables.md,13,152,158,structural-candidate,─│┌┐└┘
deck/notes/02-random-variables.md,14,162,166,text-or-formula,
deck/notes/02-random-variables.md,15,170,179,structural-candidate,─│┌┐└┘├┬┴┼
deck/notes/02-random-variables.md,16,183,187,text-or-formula,
deck/notes/02-random-variables.md,17,189,196,structural-candidate,═║╔╗╚╝
deck/notes/02-random-variables.md,18,200,212,structural-candidate,─│┌┐└┘├┬┴┼
deck/notes/03-pmf-and-cdf.md,1,5,10,structural-candidate,─│┌┐└┘
deck/notes/03-pmf-and-cdf.md,2,14,17,text-or-formula,
deck/notes/03-pmf-and-cdf.md,3,19,24,structural-candidate,─│┌┐└┘
deck/notes/03-pmf-and-cdf.md,4,28,31,text-or-formula,
deck/notes/03-pmf-and-cdf.md,5,33,42,structural-candidate,─│└┬█▶
deck/notes/03-pmf-and-cdf.md,6,44,49,text-or-formula,
deck/notes/03-pmf-and-cdf.md,7,51,56,text-or-formula,
deck/notes/03-pmf-and-cdf.md,8,60,63,text-or-formula,
deck/notes/03-pmf-and-cdf.md,9,65,80,text-or-formula,
deck/notes/03-pmf-and-cdf.md,10,82,84,text-or-formula,
deck/notes/03-pmf-and-cdf.md,11,86,96,text-or-formula,
deck/notes/03-pmf-and-cdf.md,12,98,102,text-or-formula,
deck/notes/03-pmf-and-cdf.md,13,104,113,structural-candidate,═║╔╗╚╝
deck/notes/03-pmf-and-cdf.md,14,117,123,text-or-formula,
deck/notes/03-pmf-and-cdf.md,15,125,138,structural-candidate,─│└┬█▶
deck/notes/03-pmf-and-cdf.md,16,142,144,text-or-formula,
deck/notes/03-pmf-and-cdf.md,17,146,154,text-or-formula,
deck/notes/03-pmf-and-cdf.md,18,156,161,structural-candidate,─│┌┐└┘
deck/notes/03-pmf-and-cdf.md,19,165,168,text-or-formula,
deck/notes/03-pmf-and-cdf.md,20,170,181,text-or-formula,
deck/notes/03-pmf-and-cdf.md,21,185,196,text-or-formula,
deck/notes/03-pmf-and-cdf.md,22,200,205,structural-candidate,─│┌┐└┘
deck/notes/03-pmf-and-cdf.md,23,207,213,text-or-formula,
deck/notes/03-pmf-and-cdf.md,24,215,228,structural-candidate,─│┌└┘├┬▶
deck/notes/03-pmf-and-cdf.md,25,230,237,structural-candidate,═║╔╗╚╝
deck/notes/03-pmf-and-cdf.md,26,241,244,text-or-formula,
deck/notes/03-pmf-and-cdf.md,27,246,255,text-or-formula,
deck/notes/03-pmf-and-cdf.md,28,257,267,structural-candidate,─│┘├
deck/notes/03-pmf-and-cdf.md,29,271,274,text-or-formula,
deck/notes/03-pmf-and-cdf.md,30,276,291,text-or-formula,
deck/notes/03-pmf-and-cdf.md,31,295,297,text-or-formula,
deck/notes/03-pmf-and-cdf.md,32,299,301,text-or-formula,
deck/notes/03-pmf-and-cdf.md,33,303,307,text-or-formula,
deck/notes/03-pmf-and-cdf.md,34,309,321,text-or-formula,
deck/notes/03-pmf-and-cdf.md,35,323,334,structural-candidate,─│┌└┘├┬▶
deck/notes/03-pmf-and-cdf.md,36,338,347,text-or-formula,
deck/notes/03-pmf-and-cdf.md,37,349,352,text-or-formula,
deck/notes/04-expectation-and-variance.md,1,5,14,structural-candidate,─│┌┐└┘
deck/notes/04-expectation-and-variance.md,2,18,25,structural-candidate,─│┌┐└┘
deck/notes/04-expectation-and-variance.md,3,27,37,structural-candidate,─█
deck/notes/04-expectation-and-variance.md,4,41,46,text-or-formula,
deck/notes/04-expectation-and-variance.md,5,48,53,structural-candidate,─│┌┐└┘
deck/notes/04-expectation-and-variance.md,6,57,60,text-or-formula,
deck/notes/04-expectation-and-variance.md,7,62,69,structural-candidate,═║╔╗╚╝
deck/notes/04-expectation-and-variance.md,8,73,75,text-or-formula,
deck/notes/04-expectation-and-variance.md,9,77,82,text-or-formula,
deck/notes/04-expectation-and-variance.md,10,84,88,text-or-formula,
deck/notes/04-expectation-and-variance.md,11,90,96,structural-candidate,─│┌┐└┘
deck/notes/04-expectation-and-variance.md,12,100,103,text-or-formula,
deck/notes/04-expectation-and-variance.md,13,105,116,text-or-formula,
deck/notes/04-expectation-and-variance.md,14,118,126,structural-candidate,─│┌┐└┘
deck/notes/04-expectation-and-variance.md,15,130,135,structural-candidate,─│┌┐└┘
deck/notes/04-expectation-and-variance.md,16,137,139,text-or-formula,
deck/notes/04-expectation-and-variance.md,17,141,148,text-or-formula,
deck/notes/04-expectation-and-variance.md,18,150,159,structural-candidate,─█
deck/notes/04-expectation-and-variance.md,19,163,165,text-or-formula,
deck/notes/04-expectation-and-variance.md,20,167,175,text-or-formula,
deck/notes/04-expectation-and-variance.md,21,177,185,structural-candidate,═║╔╗╚╝
deck/notes/04-expectation-and-variance.md,22,189,196,text-or-formula,
deck/notes/04-expectation-and-variance.md,23,198,204,structural-candidate,─│┌┐└┘
deck/notes/04-expectation-and-variance.md,24,206,215,structural-candidate,─▶
deck/notes/04-expectation-and-variance.md,25,219,222,text-or-formula,
deck/notes/04-expectation-and-variance.md,26,224,242,text-or-formula,
deck/notes/04-expectation-and-variance.md,27,244,251,structural-candidate,═║╔╗╚╝
deck/notes/04-expectation-and-variance.md,28,255,258,text-or-formula,
deck/notes/04-expectation-and-variance.md,29,260,263,text-or-formula,
deck/notes/04-expectation-and-variance.md,30,265,272,text-or-formula,
deck/notes/04-expectation-and-variance.md,31,274,280,text-or-formula,
deck/notes/04-expectation-and-variance.md,32,282,288,text-or-formula,
deck/notes/04-expectation-and-variance.md,33,290,296,structural-candidate,─│┌┐└┘
deck/notes/04-expectation-and-variance.md,34,298,312,structural-candidate,─│┌┐└┘┬▶
deck/notes/05-continuous-rv.md,1,5,10,text-or-formula,
deck/notes/05-continuous-rv.md,2,12,18,structural-candidate,─│┌┐└┘
deck/notes/05-continuous-rv.md,3,22,27,text-or-formula,
deck/notes/05-continuous-rv.md,4,29,36,structural-candidate,─│┌┐└┘
deck/notes/05-continuous-rv.md,5,38,49,structural-candidate,─│┌┐└┴▶
deck/notes/05-continuous-rv.md,6,53,66,text-or-formula,
deck/notes/05-continuous-rv.md,7,68,76,structural-candidate,═║╔╗╚╝
deck/notes/05-continuous-rv.md,8,80,82,text-or-formula,
deck/notes/05-continuous-rv.md,9,84,88,text-or-formula,
deck/notes/05-continuous-rv.md,10,90,92,text-or-formula,
deck/notes/05-continuous-rv.md,11,94,105,structural-candidate,─│└▶
deck/notes/05-continuous-rv.md,12,109,119,structural-candidate,─
deck/notes/05-continuous-rv.md,13,121,127,structural-candidate,─│┌┐└┘
deck/notes/05-continuous-rv.md,14,131,137,text-or-formula,
deck/notes/05-continuous-rv.md,15,139,151,structural-candidate,─│└▶
deck/notes/05-continuous-rv.md,16,153,171,text-or-formula,
deck/notes/05-continuous-rv.md,17,173,180,structural-candidate,═║╔╗╚╝
deck/notes/05-continuous-rv.md,18,182,195,structural-candidate,─│└┘┬▶
deck/notes/05-continuous-rv.md,19,199,201,text-or-formula,
deck/notes/05-continuous-rv.md,20,203,214,structural-candidate,─│┌└┴▶
deck/notes/05-continuous-rv.md,21,216,227,structural-candidate,─│┌└├▶
deck/notes/05-continuous-rv.md,22,231,234,text-or-formula,
deck/notes/05-continuous-rv.md,23,236,242,structural-candidate,═║╔╗╚╝
deck/notes/05-continuous-rv.md,24,244,248,text-or-formula,
deck/notes/05-continuous-rv.md,25,252,257,text-or-formula,
deck/notes/05-continuous-rv.md,26,261,265,text-or-formula,
deck/notes/05-continuous-rv.md,27,267,274,text-or-formula,
deck/notes/05-continuous-rv.md,28,276,285,text-or-formula,
deck/notes/05-continuous-rv.md,29,287,297,structural-candidate,─│└▶
deck/notes/05-continuous-rv.md,30,301,305,text-or-formula,
deck/notes/05-continuous-rv.md,31,307,315,text-or-formula,
deck/notes/05-continuous-rv.md,32,317,323,structural-candidate,─│┌┐└┘
deck/notes/05-continuous-rv.md,33,327,336,text-or-formula,
deck/notes/05-continuous-rv.md,34,340,343,text-or-formula,
deck/notes/05-continuous-rv.md,35,345,359,text-or-formula,
deck/notes/05-continuous-rv.md,36,361,367,structural-candidate,─│┌┐└┘
deck/notes/05-continuous-rv.md,37,371,373,text-or-formula,
deck/notes/05-continuous-rv.md,38,375,380,text-or-formula,
deck/notes/05-continuous-rv.md,39,382,388,structural-candidate,═║╔╗╚╝
deck/notes/05-continuous-rv.md,40,392,403,structural-candidate,─│┌┐└┘┬┴
deck/notes/06-binomial-poisson.md,1,7,9,text-or-formula,
deck/notes/06-binomial-poisson.md,2,11,19,text-or-formula,
deck/notes/06-binomial-poisson.md,3,21,25,text-or-formula,
deck/notes/06-binomial-poisson.md,4,27,32,text-or-formula,
deck/notes/06-binomial-poisson.md,5,34,40,text-or-formula,
deck/notes/06-binomial-poisson.md,6,42,48,structural-candidate,─│┌┐└┘
deck/notes/06-binomial-poisson.md,7,52,55,text-or-formula,
deck/notes/06-binomial-poisson.md,8,57,65,structural-candidate,═║╔╗╚╝
deck/notes/06-binomial-poisson.md,9,67,69,text-or-formula,
deck/notes/06-binomial-poisson.md,10,73,76,text-or-formula,
deck/notes/06-binomial-poisson.md,11,78,81,text-or-formula,
deck/notes/06-binomial-poisson.md,12,85,89,text-or-formula,
deck/notes/06-binomial-poisson.md,13,93,97,text-or-formula,
deck/notes/06-binomial-poisson.md,14,99,104,text-or-formula,
deck/notes/06-binomial-poisson.md,15,106,114,text-or-formula,
deck/notes/06-binomial-poisson.md,16,116,119,text-or-formula,
deck/notes/06-binomial-poisson.md,17,121,127,structural-candidate,═║╔╗╚╝
deck/notes/06-binomial-poisson.md,18,129,143,structural-candidate,─│└┬█▶
deck/notes/06-binomial-poisson.md,19,147,150,text-or-formula,
deck/notes/06-binomial-poisson.md,20,152,162,text-or-formula,
deck/notes/06-binomial-poisson.md,21,164,170,text-or-formula,
deck/notes/06-binomial-poisson.md,22,172,182,structural-candidate,═║╔╗╚╝
deck/notes/06-binomial-poisson.md,23,188,193,structural-candidate,─│┌┐└┘
deck/notes/06-binomial-poisson.md,24,195,204,text-or-formula,
deck/notes/06-binomial-poisson.md,25,208,213,text-or-formula,
deck/notes/06-binomial-poisson.md,26,215,217,structural-candidate,─▶
deck/notes/06-binomial-poisson.md,27,219,225,structural-candidate,─│┌┐└┘
deck/notes/06-binomial-poisson.md,28,229,232,text-or-formula,
deck/notes/06-binomial-poisson.md,29,234,236,text-or-formula,
deck/notes/06-binomial-poisson.md,30,238,240,text-or-formula,
deck/notes/06-binomial-poisson.md,31,242,249,structural-candidate,═║╔╗╚╝
deck/notes/06-binomial-poisson.md,32,253,255,text-or-formula,
deck/notes/06-binomial-poisson.md,33,257,265,structural-candidate,─
deck/notes/06-binomial-poisson.md,34,267,270,text-or-formula,
deck/notes/06-binomial-poisson.md,35,272,280,structural-candidate,─└┘┬
deck/notes/06-binomial-poisson.md,36,284,287,text-or-formula,
deck/notes/06-binomial-poisson.md,37,289,298,text-or-formula,
deck/notes/06-binomial-poisson.md,38,300,315,structural-candidate,─│┌┐└┘
deck/notes/06-binomial-poisson.md,39,317,324,structural-candidate,═║╔╗╚╝
deck/notes/06-binomial-poisson.md,40,328,331,text-or-formula,
deck/notes/06-binomial-poisson.md,41,333,338,text-or-formula,
deck/notes/06-binomial-poisson.md,42,340,342,text-or-formula,
deck/notes/06-binomial-poisson.md,43,346,350,text-or-formula,
deck/notes/06-binomial-poisson.md,44,354,368,structural-candidate,─│┌┐└┘├┬┴┼▶
deck/notes/06-binomial-poisson.md,45,370,382,structural-candidate,─│└┬█
deck/notes/06-binomial-poisson.md,46,386,394,text-or-formula,
deck/notes/07-uniform-normal-exponential.md,1,5,16,structural-candidate,─│┌┐┬┴
deck/notes/07-uniform-normal-exponential.md,2,22,30,structural-candidate,─│┌┐└┘
deck/notes/07-uniform-normal-exponential.md,3,32,44,structural-candidate,─│┌┐└┴▶
deck/notes/07-uniform-normal-exponential.md,4,48,51,text-or-formula,
deck/notes/07-uniform-normal-exponential.md,5,53,60,structural-candidate,─│┌┐└┘
deck/notes/07-uniform-normal-exponential.md,6,64,69,text-or-formula,
deck/notes/07-uniform-normal-exponential.md,7,71,73,text-or-formula,
deck/notes/07-uniform-normal-exponential.md,8,75,85,structural-candidate,─│┌┐└┴▶
deck/notes/07-uniform-normal-exponential.md,9,91,99,structural-candidate,─│┌┐└┘
deck/notes/07-uniform-normal-exponential.md,10,101,109,structural-candidate,─┴
deck/notes/07-uniform-normal-exponential.md,11,113,123,structural-candidate,═║╔╗╚╝
deck/notes/07-uniform-normal-exponential.md,12,127,131,text-or-formula,
deck/notes/07-uniform-normal-exponential.md,13,133,142,structural-candidate,─┴
deck/notes/07-uniform-normal-exponential.md,14,146,148,text-or-formula,
deck/notes/07-uniform-normal-exponential.md,15,150,153,text-or-formula,
